CustomerID,Age,AnnualIncome_k,SpendingScore,PurchaseFrequency,RecencyDays,AvgOrderValue,TrueSegment,Gender,PreferredCategory,Cluster,Segment,PC1,PC2
CUST00638,21,32.3,69.2,11.0,5.0,42.57,New & Curious,Female,Home & Living,4,New & Curious,-0.518029436726325,-2.0904637569929774
CUST00221,30,45.7,61.3,15.0,37.0,56.42,Steady Regulars,Female,Beauty,1,Steady Regulars,-0.12452148734154934,-0.9480445839001479
CUST00429,62,70.2,19.8,2.0,173.0,91.09,At-Risk / Dormant,Male,Home & Living,0,At-Risk / Dormant,-1.101137893847343,3.473055417532086
CUST00327,21,16.1,38.9,3.0,100.0,43.58,Budget Browsers,Female,Beauty,3,Budget Browsers,-2.3490247020449244,-0.8508635115282386
CUST00073,41,103.2,96.5,26.0,8.0,174.48,High-Value Loyalists,Male,Home & Living,2,High-Value Loyalists,3.7062811219200498,0.32852551446270745
CUST00517,42,66.0,17.8,7.0,173.0,65.15,At-Risk / Dormant,Male,Home & Living,0,At-Risk / Dormant,-1.5594599813460719,2.0899929223648552
CUST00182,43,53.7,51.1,9.0,66.0,47.3,Steady Regulars,Male,Apparel,1,Steady Regulars,-0.5573672883154405,0.32082650629635723
CUST00132,42,102.9,61.6,27.0,1.0,132.04,High-Value Loyalists,Female,Apparel,2,High-Value Loyalists,2.7136909324920437,0.5289216163913345
CUST00232,32,62.2,58.8,16.0,56.0,59.64,Steady Regulars,Male,Apparel,1,Steady Regulars,0.10798472361694036,-0.3878183314469534
CUST00278,30,54.8,57.9,16.0,31.0,72.12,Steady Regulars,Male,Home & Living,1,Steady Regulars,0.2242632357042325,-0.7305381092312178
CUST00608,25,44.5,88.7,10.0,22.0,53.87,New & Curious,Male,Apparel,4,New & Curious,0.07502969729916431,-1.7462022421922105
CUST00282,18,51.4,66.2,19.0,1.0,54.76,Steady Regulars,Female,Home & Living,4,New & Curious,0.276069267633684,-2.0089827910646
CUST00250,34,56.4,54.9,16.0,32.0,62.69,Steady Regulars,Female,Apparel,1,Steady Regulars,0.15508474890613536,-0.49978859589066005
CUST00082,44,97.6,76.0,23.0,1.0,126.22,High-Value Loyalists,Male,Apparel,2,High-Value Loyalists,2.6486980998485365,0.36166043323183616
CUST00616,25,54.8,83.9,6.0,1.0,34.07,New & Curious,Female,Beauty,4,New & Curious,-0.13856280613813735,-1.8150144772504573
CUST00248,34,33.3,61.9,15.0,25.0,49.83,Steady Regulars,Female,Beauty,1,Steady Regulars,-0.2491169681233391,-1.064179624103147
CUST00364,32,30.9,37.0,1.0,91.0,16.44,Budget Browsers,Male,Beauty,3,Budget Browsers,-2.2959471929433337,-0.26167465889730207
CUST00644,31,35.3,79.9,11.0,6.0,16.38,New & Curious,Other,Beauty,4,New & Curious,-0.39143114666468265,-1.835525500695952
CUST00070,37,96.0,74.3,30.0,25.0,155.98,High-Value Loyalists,Male,Beauty,2,High-Value Loyalists,3.017869665968016,0.31913794524060646
CUST00011,38,83.3,79.8,34.0,20.0,131.37,High-Value Loyalists,Male,Electronics,2,High-Value Loyalists,2.9027173321879958,-0.15745120477057856
CUST00342,26,44.0,26.3,4.0,117.0,55.72,Budget Browsers,Female,Electronics,3,Budget Browsers,-1.9534504312383805,0.22828757311431963
CUST00064,33,102.8,86.0,25.0,5.0,142.95,High-Value Loyalists,Male,Home & Living,2,High-Value Loyalists,2.996091410563382,-0.19758224995982468
CUST00465,41,74.0,24.0,3.0,169.0,72.68,At-Risk / Dormant,Female,Electronics,0,At-Risk / Dormant,-1.4357846838475177,2.1201411228330302
CUST00055,49,78.5,81.8,26.0,43.0,133.48,High-Value Loyalists,Male,Electronics,2,High-Value Loyalists,2.4998534636548344,0.6919425669350509
CUST00535,59,69.1,24.7,0.0,165.0,70.79,At-Risk / Dormant,Male,Electronics,0,At-Risk / Dormant,-1.355955934863041,3.026647320065338
CUST00518,48,74.1,22.7,0.0,167.0,82.13,At-Risk / Dormant,Male,Sports,0,At-Risk / Dormant,-1.3851098278682936,2.6166696506977636
CUST00178,32,61.9,51.4,17.0,14.0,79.22,Steady Regulars,Female,Electronics,1,Steady Regulars,0.4917085541610858,-0.5464778729957346
CUST00300,33,25.3,44.4,1.0,94.0,36.04,Budget Browsers,Female,Home & Living,3,Budget Browsers,-2.042868097183608,-0.22816382397726032
CUST00595,18,47.2,72.3,15.0,30.0,69.13,New & Curious,Male,Home & Living,4,New & Curious,0.08116651781944538,-1.7322856160767337
CUST00032,54,84.7,73.0,25.0,30.0,119.97,High-Value Loyalists,Female,Home & Living,2,High-Value Loyalists,2.4067611421998847,0.9825871133845434
CUST00491,56,60.2,8.0,7.0,145.0,83.85,At-Risk / Dormant,Female,Apparel,0,At-Risk / Dormant,-1.2246805289245177,2.8037690668831794
CUST00056,48,83.7,72.0,27.0,13.0,135.36,High-Value Loyalists,Female,Electronics,2,High-Value Loyalists,2.6484727600842852,0.5760748603587416
CUST00175,38,43.7,58.5,17.0,38.0,88.1,Steady Regulars,Male,Electronics,1,Steady Regulars,0.3680563357551259,-0.28430578975684595
