month,sales
2019-01-01,18947.04
2019-02-01,18990.17
2019-03-01,20712.13
2019-04-01,22314.55
2019-05-01,21347.69
2019-06-01,20562.31
2019-07-01,22308.93
2019-08-01,22292.94
2019-09-01,22494.33
2019-10-01,24519.76
2019-11-01,26228.99
2019-12-01,27841.52
2020-01-01,22493.05
2020-02-01,21167.94
2020-03-01,
2020-04-01,24213.04
2020-05-01,24422.16
2020-06-01,24831.14
2020-07-01,23845.7
2020-08-01,24106.45
2020-09-01,28011.22
2020-10-01,27603.54
2020-11-01,30482.12
2020-12-01,30753.68
2021-01-01,25560.62
2021-02-01,26765.0
2021-03-01,26643.88
2021-04-01,28832.51
2021-05-01,28568.41
2021-06-01,28061.07
2021-07-01,27896.67
2021-07-01,27896.67
2021-08-01,30819.86
2021-09-01,30455.27
2021-10-01,30630.08
2021-11-01,34936.92
2021-12-01,34712.48
2022-01-01,30013.82
2022-02-01,28676.75
2022-03-01,30259.69
2022-04-01,32446.84
2022-05-01,33548.89
2022-06-01,32253.11
2022-07-01,32109.4
2022-08-01,32657.1
2022-09-01,32912.03
2022-10-01,34709.44
2022-11-01,37557.34
2022-12-01,
2023-01-01,33910.38
2023-02-01,32628.99
2023-03-01,35522.01
2023-04-01,35698.37
2023-05-01,36050.32
2023-06-01,36424.67
2023-07-01,36916.66
2023-08-01,37541.52
2023-09-01,37262.68
2023-10-01,38854.29
2023-11-01,42045.33
2023-12-01,44239.79
2024-01-01,36945.15
2024-02-01,37823.92
2024-03-01,38009.92
2024-04-01,38743.64
2024-05-01,41166.1
2024-06-01,40870.05
2024-07-01,39699.24
2024-08-01,41381.83
2024-09-01,42118.73
2024-10-01,42327.26
2024-11-01,45847.73
2024-12-01,48521.31
2025-01-01,41119.44
2025-02-01,43174.47
2025-03-01,40423.13
2025-04-01,44335.22
2025-05-01,44288.45
2025-06-01,43155.61
2025-07-01,43621.91
2025-08-01,42465.12
2025-09-01,45370.83
2025-10-01,47004.55
2025-11-01,50627.86
2025-12-01,50445.92
2026-01-01,44199.32
2026-02-01,45089.99
2026-03-01,47380.04
2026-04-01,47666.66
2026-05-01,47508.61
2026-06-01,47661.94
